Title,Genre,Year,Director
The Kid,Drama | Comedy | Family,1921,Charles Chaplin
The Sting,Drama | Comedy | Crime,1973,George Roy Hill
Good Will Hunting,Drama | Romance,1997,Gus Van Sant
Toy Story 3,Comedy | Adventure | Animation | Family | Fantasy,2010,Lee Unkrich
Jagten,Drama,2012,Thomas Vinterberg
Snatch,Comedy | Crime,2000,Guy Ritchie
Scarface,Drama | Crime,1983,Brian De Palma
Monty Python and the Holy Grail,Comedy | Adventure | Fantasy,1975,Terry Gilliam
Per qualche dollaro in più,Western,1965,Sergio Leone
L.A. Confidential,Drama | Thriller | Mystery | Crime,1997,Curtis Hanson
The Apartment,Drama | Comedy | Romance,1960,Billy Wilder
Metropolis,Drama,1927,Fritz Lang
Jodaeiye Nader az Simin,Drama,2011,Asghar Farhadi
Indiana Jones and the Last Crusade,Adventure | Fantasy | Action,1989,Steven Spielberg
Rashômon,Drama | Mystery | Crime,1950,Akira Kurosawa
Up,Adventure | Comedy | Animation | Family,2009,Pete Docter
All About Eve,Drama,1950,Joseph L. Mankiewicz
Batman Begins,Adventure | Action | Thriller,2005,Christopher Nolan
Yôjinbô,Drama | Action | Thriller,1961,Akira Kurosawa
Some Like It Hot,Comedy | Romance,1959,Billy Wilder
Unforgiven,Drama | Western,1992,Clint Eastwood
Der Untergang,Drama | Biography | War | History,2004,Oliver Hirschbiegel
Die Hard,Action | Thriller,1988,John McTiernan
The Treasure of the Sierra Madre,Drama | Western | Adventure,1948,John Huston
Heat,Drama | Thriller | Crime,1995,Michael Mann
Ikiru,Drama,1952,Akira Kurosawa
Incendies,Drama | War | Mystery,2010,Denis Villeneuve
Raging Bull,Drama | Biography | Sport,1980,Martin Scorsese
The Great Escape,Thriller | Adventure | Drama | War | History,1963,John Sturges
Bacheha-Ye aseman,Drama | Family,1997,Majid Majidi
El laberinto del fauno,Drama | Fantasy | War,2006,Guillermo del Toro
Babam ve Oglum,Drama | Family,2005,Çagan Irmak
Chinatown,Drama | Thriller | Mystery,1974,Roman Polanski
The Third Man,Thriller | Mystery,1949,Carol Reed
Bohemian Rhapsody,Drama | Biography | Music,2018,Bryan Singer
Tonari no Totoro,Fantasy | Animation | Family,1988,Hayao Miyazaki
Hauru no ugoku shiro,Adventure | Fantasy | Animation | Family,2004,Hayao Miyazaki
Ran,Drama | Action,1985,Akira Kurosawa
Judgment at Nuremberg,Drama | War,1961,Stanley Kramer
El secreto de sus ojos,Thriller | Drama | Romance | Mystery,2009,Juan José Campanella
The Gold Rush,Drama | Comedy | Adventure | Family,1925,Charles Chaplin
The Bridge on the River Kwai,War | Drama | Adventure,1957,David Lean
A Beautiful Mind,Drama | Biography,2001,Ron Howard
"Lock, Stock and Two Smoking Barrels",Comedy | Crime,1998,Guy Ritchie
Casino,Drama | Crime,1995,Martin Scorsese
"Three Billboards Outside Ebbing, Missouri",Drama | Comedy | Crime,2017,Martin McDonagh
On the Waterfront,Drama | Thriller | Crime,1954,Elia Kazan
Det sjunde inseglet,Drama | Fantasy,1957,Ingmar Bergman
Inside Out,Comedy | Adventure | Animation | Family | Drama | Fantasy,2015,Pete Docter
The Elephant Man,Drama | Biography,1980,David Lynch
Room,Drama | Thriller,2015,Lenny Abrahamson
The Wolf of Wall Street,Drama | Biography | Comedy | Crime,2013,Martin Scorsese
Mr. Smith Goes to Washington,Drama | Comedy,1939,Frank Capra
V for Vendetta,Drama | Action | Thriller,2005,James McTeigue
Warrior,Drama | Sport,2011,Gavin O'Connor
Blade Runner,Thriller,1982,Ridley Scott
Dial M for Murder,Thriller | Crime,1954,Alfred Hitchcock
Smultronstället,Drama | Romance,1957,Ingmar Bergman
The General,Comedy | Adventure | Drama | Western | War | Action,1926,Clyde Bruckman
No Country for Old Men,Drama | Thriller | Crime,2007,Ethan Coen
Trainspotting,Drama,1996,Danny Boyle
There Will Be Blood,Drama,2007,Paul Thomas Anderson
The Sixth Sense,Drama | Thriller | Mystery,1999,M. Night Shyamalan
Gone with the Wind,War | Drama | Romance | History,1939,Victor Fleming
The Thing,Horror | Mystery,1982,John Carpenter
Fargo,Drama | Thriller | Crime,1996,Joel Coen
Gran Torino,Drama,2008,Clint Eastwood
Roma ,Drama,2018,Alfonso Cuarón
The Deer Hunter,Drama | War,1978,Michael Cimino
Finding Nemo,Adventure | Comedy | Animation | Family,2003,Andrew Stanton
Idi i smotri,Drama | War,1985,Elem Klimov
The Big Lebowski,Comedy | Crime,1998,Joel Coen
Shutter Island,Thriller | Mystery,2010,Martin Scorsese
Sherlock Jr.,Romance | Comedy | Action,1924,Buster Keaton
Kill Bill: Vol. 1,Action | Thriller | Crime,2003,Quentin Tarantino
Cool Hand Luke,Drama | Crime,1967,Stuart Rosenberg
Rebecca,Thriller | Drama | Romance | Mystery,1940,Alfred Hitchcock
Tôkyô monogatari,Drama,1953,Yasujirô Ozu
Mary and Max,Drama | Comedy | Animation,2009,Adam Elliot
Hacksaw Ridge,Drama | Biography | War | History,2016,Mel Gibson
Gone Girl,Drama | Thriller | Mystery | Crime,2014,David Fincher
How to Train Your Dragon,Comedy | Adventure | Animation | Family | Fantasy | Action,2010,Dean DeBlois
Sunrise: A Song of Two Humans,Drama | Romance,1927,F.W. Murnau
Relatos salvajes,Drama | Comedy | Thriller,2014,Damián Szifron
Jurassic Park,Adventure | Thriller,1993,Steven Spielberg
Into the Wild,Drama | Biography | Adventure,2007,Sean Penn
Life of Brian,Comedy,1979,Terry Jones
In the Name of the Father,Drama | Biography,1993,Jim Sheridan
The Truman Show,Drama | Comedy,1998,Peter Weir
The Grand Budapest Hotel,Drama | Comedy | Adventure,2014,Wes Anderson
Platoon,Drama | War,1986,Oliver Stone
Stand by Me,Drama | Adventure,1986,Rob Reiner
It Happened One Night,Comedy | Romance,1934,Frank Capra
Eskiya ,Drama | Thriller | Crime,1996,Yavuz Turgul
Network,Drama,1976,Sidney Lumet
Stalker,Drama,1979,Andrei Tarkovsky
Persona,Drama | Thriller,1966,Ingmar Bergman
Salinui chueok,Thriller | Mystery | Drama | Action | Crime,2003,Joon-ho Bong
Ben-Hur,Drama | Adventure | History,1959,William Wyler
Hotel Rwanda,Drama | Biography | War | History,2004,Terry George
12 Years a Slave,Drama | Biography | History,2013,Steve McQueen
Million Dollar Baby,Drama | Sport,2004,Clint Eastwood
La passion de Jeanne d'Arc,Drama | Biography | History,1928,Carl Theodor Dreyer
Rush,Drama | Biography | Action | Sport,2013,Ron Howard
Andrey Rublev,Drama | Biography | History,1966,Andrei Tarkovsky
Le salaire de la peur,Drama | Adventure | Thriller,1953,Henri-Georges Clouzot
Before Sunrise,Drama | Romance,1995,Richard Linklater
Mad Max: Fury Road,Adventure | Action | Thriller,2015,George Miller
Les quatre cents coups,Drama | Crime,1959,François Truffaut
Prisoners,Drama | Thriller | Mystery | Crime,2013,Denis Villeneuve
Hachi: A Dog's Tale,Drama | Family,2009,Lasse Hallström
Spotlight,Drama | History | Crime,2015,Tom McCarthy
Logan,Drama | Action | Thriller,2017,James Mangold
Rang De Basanti,Drama | Comedy,2006,Rakeysh Omprakash Mehra
Amores perros,Drama | Thriller,2000,Alejandro G. Iñárritu
The Princess Bride,Romance | Fantasy | Adventure | Family,1987,Rob Reiner
Catch Me If You Can,Drama | Biography | Crime,2002,Steven Spielberg
Kaze no tani no Naushika,Adventure | Fantasy | Animation,1984,Hayao Miyazaki
Harry Potter and the Deathly Hallows: Part 2,Drama | Fantasy | Adventure | Mystery,2011,David Yates
Butch Cassidy and the Sundance Kid,Drama | Western | Biography | Crime,1969,George Roy Hill
Rocky,Drama | Sport,1976,John G. Avildsen
Barry Lyndon,War | Drama | Adventure | History,1975,Stanley Kubrick
"Monsters, Inc.",Comedy | Adventure | Animation | Family | Fantasy,2001,Pete Docter
The Grapes of Wrath,Drama | History,1940,John Ford
The Maltese Falcon,Mystery,1941,John Huston
Dead Poets Society,Drama | Comedy,1989,Peter Weir
Donnie Darko,Drama | Thriller,2001,Richard Kelly
The Terminator,Action,1984,James Cameron
Gandhi,Drama | Biography | History,1982,Richard Attenborough
Les diaboliques,Thriller | Mystery | Drama | Horror | Crime,1955,Henri-Georges Clouzot
La haine,Drama | Crime,1995,Mathieu Kassovitz
Groundhog Day,Comedy | Romance | Fantasy,1993,Harold Ramis
The Wizard of Oz,Fantasy | Adventure | Musical | Family,1939,Victor Fleming
Jaws,Drama | Adventure | Thriller,1975,Steven Spielberg
Le notti di Cabiria,Drama,1957,Federico Fellini
The Help,Drama,2011,Tate Taylor
Faa yeung nin wa,Drama | Romance,2000,Kar-Wai Wong
Mandariinid,Drama | War,2013,Zaza Urushadze
Before Sunset,Drama | Romance,2004,Richard Linklater
Paper Moon,Drama | Comedy,1973,Peter Bogdanovich
Ah-ga-ssi,Drama | Romance | Thriller,2016,Chan-wook Park
"Paris, Texas",Drama,1984,Wim Wenders
The Best Years of Our Lives,War | Drama | Romance,1946,William Wyler
Tenkû no shiro Rapyuta,Drama | Adventure | Fantasy | Animation,1986,Hayao Miyazaki
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure | Fantasy | Action,2003,Gore Verbinski
Blade Runner 2049,Drama | Thriller | Mystery,2017,Denis Villeneuve
La La Land,Comedy | Romance | Music | Drama | Musical,2016,Damien Chazelle
Guardians of the Galaxy,Adventure | Comedy | Action,2014,James Gunn
Fanny och Alexander,Drama,1982,Ingmar Bergman
Tsubaki Sanjûrô,Drama | Action | Thriller | Crime,1962,Akira Kurosawa
Gangs of Wasseypur,Comedy | Thriller | Drama | Action | Crime,2012,Anurag Kashyap
Drishyam ,Drama | Thriller | Crime,2015,Nishikant Kamat
